file,bead_number,start_index,end_index,is_test,Logistic Regression_Prediction,Logistic Regression_Correct,Random Forest_Prediction,Random Forest_Correct,SVM_Prediction,SVM_Correct,XGBoost_Prediction,XGBoost_Correct,KNN_Prediction,KNN_Correct,Neural Network_Prediction,Neural Network_Correct,HistGradientBoosting_Prediction,HistGradientBoosting_Correct
112953_BM4A2NE1T220810Y0200.csv,11,82083,83558,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,12,83716,85190,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,13,85350,86824,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,14,86971,88446,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,15,88607,90082,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,16,90226,91701,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,17,102510,103984,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,18,104142,105616,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,19,105765,107239,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,20,107400,108874,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,21,109053,110527,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,22,110677,112152,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,23,123421,124896,True,2.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,24,125045,126519,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,25,126664,128138,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,26,128285,129759,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,27,129902,131376,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,28,131533,133007,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,29,133183,134657,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,30,134811,136285,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,31,136433,137907,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,32,149907,153233,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,33,153396,156722,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,34,167639,170966,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,35,171121,174448,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,1,10716,14709,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,2,14892,18884,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,3,19031,23024,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,4,42339,45666,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,5,45850,49176,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,6,49331,52657,False,,,,,,,,,,,,,,
